0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.1 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.2 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.3 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.4 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.5 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.6 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.7 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.8 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.9 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.1 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.2 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.3 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.4 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.5 Sent 3850 bytes 53 pkt (dropped 54, overlimits 54 requeues 0) 
1.6 Sent 9030 bytes 123 pkt (dropped 194, overlimits 194 requeues 0) 
1.7 Sent 13914 bytes 189 pkt (dropped 338, overlimits 338 requeues 0) 
1.8 Sent 13914 bytes 189 pkt (dropped 338, overlimits 338 requeues 0) 
1.9 Sent 13914 bytes 189 pkt (dropped 347, overlimits 347 requeues 0) 
2.0 Sent 13914 bytes 189 pkt (dropped 347, overlimits 347 requeues 0) 
2.1 Sent 13914 bytes 189 pkt (dropped 347, overlimits 347 requeues 0) 
2.2 Sent 13914 bytes 189 pkt (dropped 347, overlimits 347 requeues 0) 
2.3 Sent 14364 bytes 194 pkt (dropped 351, overlimits 351 requeues 0) 
2.4 Sent 14364 bytes 194 pkt (dropped 351, overlimits 351 requeues 0) 
2.5 Sent 20358 bytes 275 pkt (dropped 449, overlimits 449 requeues 0) 
2.6 Sent 25612 bytes 346 pkt (dropped 605, overlimits 605 requeues 0) 
2.7 Sent 27980 bytes 378 pkt (dropped 661, overlimits 661 requeues 0) 
