0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.1 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.2 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.3 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.4 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.5 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.6 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.7 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.8 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
.9 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.1 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.2 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.3 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.4 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.5 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.6 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.7 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.8 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
1.9 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
2.0 Sent 6062 bytes 83 pkt (dropped 123, overlimits 123 requeues 0) 
2.1 Sent 11316 bytes 154 pkt (dropped 279, overlimits 279 requeues 0) 
2.2 Sent 13700 bytes 186 pkt (dropped 344, overlimits 344 requeues 0) 
2.3 Sent 13700 bytes 186 pkt (dropped 344, overlimits 344 requeues 0) 
2.4 Sent 14600 bytes 196 pkt (dropped 344, overlimits 344 requeues 0) 
2.5 Sent 14600 bytes 196 pkt (dropped 344, overlimits 344 requeues 0) 
2.6 Sent 14600 bytes 196 pkt (dropped 344, overlimits 344 requeues 0) 
2.7 Sent 14600 bytes 196 pkt (dropped 344, overlimits 344 requeues 0) 
